Age,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,year,PER,TS%,WS,WS/48,BPM,VORP,Player,Player-additional,Pos,PIS
20.0,3.0,8.25,1.4,3.0,0.36150000000000004,0.25,1.0,0.1665,1.15,2.0,0.4585,0.25,0.25,1.0,0.75,0.25,1.0,0.0,0.75,0.0,0.4,0.4,3.25,2024.0,7.1499999999999995,0.45099999999999996,0.0,-0.057,-8.200000000000001,-0.05,Alex Fudge,fudgeal01,Ailier,-0.86
29.0,26.0,6.2,0.6,1.2,0.533,0.0,0.1,0.0,0.6,1.1,0.571,0.4,0.6,0.688,0.9,1.4,2.3,0.5,0.2,0.4,0.6,1.1,1.7,2023.0,12.8,0.58,0.3,0.085,-4.0,-0.1,Alex Len,lenal01,Pivot,-0.21
30.0,48.0,9.3,1.0,1.7,0.617,0.0,0.1,0.0,1.0,1.6,0.641,0.4,0.7,0.588,1.0,1.7,2.7,1.0,0.2,0.7,0.6,1.4,2.5,2024.0,14.7,0.625,1.3,0.138,0.2,0.2,Alex Len,lenal01,Pivot,0.21
31.0,23.0,9.7,0.8,1.6500000000000001,0.496,0.05,0.25,0.25,0.75,1.45,0.5369999999999999,0.15000000000000002,0.4,0.394,1.0,1.4500000000000002,2.45,0.8,0.15000000000000002,0.4,0.6,1.55,1.8,2025.0,9.2,0.51,0.3,0.0615,-4.3,0.0,Alex Len,lenal01,Pivot,-0.51
25.0,7.5,8.65,1.4,2.4,0.736,0.55,1.45,0.366,0.85,0.95,0.9165,0.3,0.45,0.75,0.8,1.35,2.15,0.15,0.35,0.35,0.2,0.75,3.65,2025.0,33.6,0.8175,0.25,0.3475,9.100000000000001,0.0,Alex Reese,reeseal01,Ailier fort,2.15
19.0,67.0,27.1,4.9,12.4,0.394,1.6,5.1,0.308,3.3,7.3,0.454,1.7,2.5,0.679,1.9,4.6,6.5,2.4,0.7,1.5,1.7,2.2,13.0,2025.0,12.9,0.482,-0.3,-0.007,-3.3,-0.6,Alex Sarr,sarral01,Pivot,-0.6
26.0,4.0,7.5,0.8,1.5,0.5,0.0,0.5,0.0,0.8,1.0,0.75,0.3,0.5,0.5,0.5,2.0,2.5,0.3,0.3,0.0,1.0,0.8,1.8,2023.0,4.3,0.509,-0.1,-0.099,-9.1,-0.1,Alize Johnson,johnsal02,Ailier fort,-1.37
23.0,1.0,5.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,2023.0,-20.9,,-0.1,-0.517,-26.5,0.0,Alondes Williams,willial06,Arrière,-4.39
24.0,7.0,2.3,0.3,1.1,0.25,0.0,0.6,0.0,0.3,0.6,0.5,0.1,0.1,1.0,0.0,0.1,0.1,0.0,0.0,0.1,0.3,0.3,0.7,2024.0,-7.9,0.296,-0.1,-0.357,-23.2,-0.1,Alondes Williams,willial06,Arrière,-2.65
25.0,1.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,2025.0,53.4,1.25,0.0,0.565,44.1,0.0,Alondes Williams,willial06,Arrière,4.27
20.0,75.0,28.9,5.9,10.7,0.553,0.3,0.8,0.333,5.6,9.9,0.57,2.7,3.8,0.715,3.2,5.8,9.0,3.9,0.9,0.9,2.6,3.4,14.8,2023.0,19.7,0.599,5.2,0.115,1.4,1.9,Alperen Sengun,sengual01,Pivot,0.97
21.0,63.0,32.5,8.4,15.6,0.537,0.5,1.8,0.297,7.8,13.8,0.567,3.9,5.6,0.693,2.9,6.4,9.3,5.0,1.2,0.7,2.6,3.3,21.1,2024.0,22.0,0.585,6.9,0.163,4.9,3.5,Alperen Sengun,sengual01,Pivot,1.69
22.0,76.0,31.5,7.5,15.0,0.496,0.3,1.2,0.233,7.2,13.9,0.519,3.9,5.6,0.692,3.4,6.9,10.3,4.9,1.1,0.8,2.6,2.8,19.1,2025.0,21.4,0.545,8.3,0.166,4.4,3.9,Alperen Sengun,sengual01,Pivot,1.88
19.0,10.0,6.5,0.8,2.4,0.333,0.1,0.8,0.125,0.7,1.6,0.438,0.6,0.7,0.857,0.6,0.3,0.9,0.7,0.3,0.0,0.4,0.2,2.3,2024.0,9.7,0.425,-0.1,-0.044,-8.3,-0.1,Amari Bailey,baileam01,Meneur,-0.67
21.0,62.0,22.4,3.9,7.2,0.536,0.1,0.9,0.138,3.7,6.3,0.595,1.7,2.5,0.684,2.4,4.2,6.6,2.6,1.3,0.6,1.5,2.3,9.5,2024.0,18.2,0.576,4.3,0.149,1.8,1.3,Amen Thompson,thompam01,Ailier,0.78
22.0,69.0,32.2,5.6,10.1,0.557,0.4,1.3,0.275,5.3,8.8,0.599,2.4,3.6,0.684,2.8,5.4,8.2,3.8,1.4,1.3,2.0,2.4,14.1,2025.0,18.7,0.602,8.0,0.172,4.1,3.4,Amen Thompson,thompam01,Ailier,1.54
25.0,50.0,12.5,1.1,2.9,0.386,0.2,0.8,0.275,0.9,2.1,0.429,1.0,1.3,0.778,0.3,0.7,1.1,1.1,0.1,0.1,0.4,1.0,3.4,2023.0,7.0,0.498,0.4,0.033,-5.0,-0.5,Amir Coffey,coffeam01,Ailier,-0.91
26.0,70.0,20.9,2.4,5.0,0.472,1.0,2.6,0.38,1.4,2.4,0.571,0.9,1.0,0.859,0.4,1.7,2.1,1.1,0.6,0.2,0.5,1.5,6.6,2024.0,10.0,0.604,2.6,0.084,-2.2,-0.1,Amir Coffey,coffeam01,Ailier,-0.33
27.0,72.0,24.3,3.3,7.1,0.471,1.4,3.4,0.409,1.9,3.7,0.529,1.6,1.8,0.891,0.4,1.8,2.2,1.1,0.6,0.1,0.6,1.7,9.7,2025.0,11.2,0.614,4.0,0.111,-1.7,0.1,Amir Coffey,coffeam01,Arrière,-0.19
29.0,67.0,12.7,2.5,4.1,0.606,0.0,0.0,0.0,2.5,4.0,0.613,1.0,1.9,0.536,2.1,4.6,6.6,0.5,0.7,0.4,1.1,1.7,6.0,2023.0,20.8,0.606,2.8,0.159,-0.8,0.3,Andre Drummond,drumman01,Pivot,0.71
30.0,79.0,17.1,3.4,6.1,0.556,0.0,0.0,0.0,3.4,6.0,0.56,1.6,2.8,0.592,3.4,5.6,9.0,0.5,0.9,0.6,1.0,1.8,8.4,2024.0,23.0,0.576,4.9,0.175,0.1,0.7,Andre Drummond,drumman01,Pivot,1.01
31.0,40.0,18.8,2.9,5.9,0.5,0.1,0.5,0.15,2.9,5.4,0.533,1.4,2.3,0.622,2.7,5.0,7.8,0.9,1.0,0.5,1.4,2.4,7.3,2025.0,16.0,0.535,1.2,0.078,-3.2,-0.2,Andre Drummond,drumman01,Pivot,-0.01
39.0,8.0,14.1,0.9,1.9,0.467,0.1,1.1,0.111,0.8,0.8,1.0,0.3,0.4,0.667,0.4,1.8,2.1,2.4,0.5,0.4,1.1,1.4,2.1,2023.0,7.3,0.521,0.1,0.044,-2.5,0.0,Andre Iguodala,iguodan01,Ailier fort,-0.7
22.0,57.0,10.0,0.9,1.8,0.5,0.3,0.8,0.37,0.6,0.9,0.611,0.1,0.2,0.727,0.8,1.2,2.0,0.9,0.3,0.1,0.5,1.6,2.2,2024.0,8.5,0.596,1.0,0.081,-3.6,-0.2,Andre Jackson Jr,jacksan01,Arrière,-0.47
23.0,67.0,14.6,1.4,2.9,0.477,0.4,1.1,0.395,1.0,1.8,0.529,0.2,0.4,0.5,1.0,1.7,2.7,1.2,0.5,0.2,0.9,1.7,3.4,2025.0,8.6,0.554,1.2,0.059,-3.4,-0.3,Andre Jackson Jr,jacksan01,Arrière,-0.66
24.0,5.0,2.6,0.0,0.8,0.0,0.0,0.6,0.0,0.0,0.2,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,2024.0,-5.0,0.0,-0.1,-0.252,-14.4,0.0,Andrew Funk,funkan01,Arrière,-2.16
23.0,75.0,27.6,3.8,8.6,0.441,1.2,3.5,0.35,2.6,5.1,0.504,0.7,0.8,0.79,0.5,2.2,2.7,4.5,0.9,0.2,1.7,2.4,9.5,2023.0,10.0,0.528,1.2,0.029,-3.2,-0.6,Andrew Nembhard,nembhan01,Arrière,-0.73
24.0,68.0,25.0,3.8,7.7,0.498,0.9,2.5,0.357,2.9,5.2,0.567,0.7,0.8,0.804,0.5,1.5,2.1,4.1,0.9,0.1,1.5,2.1,9.2,2024.0,11.3,0.573,2.0,0.057,-2.2,-0.1,Andrew Nembhard,nembhan01,Meneur,-0.31
25.0,65.0,28.9,3.8,8.3,0.458,0.8,2.7,0.291,3.0,5.6,0.538,1.7,2.1,0.794,0.5,2.8,3.3,5.0,1.2,0.2,1.7,2.3,10.0,2025.0,11.7,0.545,2.8,0.071,-2.3,-0.1,Andrew Nembhard,nembhan01,Arrière,-0.32
27.0,37.0,32.2,6.8,14.3,0.473,2.4,6.1,0.396,4.4,8.2,0.53,1.2,1.9,0.611,1.6,3.4,5.0,2.3,1.2,0.8,1.3,2.9,17.1,2023.0,14.7,0.564,2.3,0.091,-0.5,0.5,Andrew Wiggins,wiggian01,Ailier,0.12
28.0,71.0,27.0,5.0,11.0,0.453,1.3,3.6,0.358,3.7,7.4,0.498,2.0,2.7,0.751,1.5,3.0,4.5,1.7,0.6,0.6,1.2,2.1,13.2,2024.0,12.7,0.544,2.8,0.07,-2.5,-0.3,Andrew Wiggins,wiggian01,Ailier,-0.23
29.0,30.0,31.1,6.449999999999999,14.25,0.451,2.1500000000000004,5.85,0.3695,4.25,8.4,0.507,3.3,4.4,0.754,1.45,2.95,4.4,2.8499999999999996,1.05,0.9,1.9,1.7000000000000002,18.3,2025.0,16.4,0.566,2.0,0.094,0.85,0.7,Andrew Wiggins,wiggian01,Ailier,0.34
23.0,62.0,35.0,7.5,16.9,0.447,3.4,9.1,0.377,4.1,7.8,0.528,2.6,2.9,0.894,0.3,2.3,2.6,4.1,0.7,0.2,2.1,2.3,21.1,2023.0,14.8,0.581,2.5,0.054,-1.1,0.5,Anfernee Simons,simonan01,Arrière,0.02
24.0,46.0,34.4,7.8,18.2,0.43,3.4,8.8,0.385,4.4,9.4,0.472,3.5,3.9,0.916,0.5,3.2,3.6,5.5,0.5,0.1,2.7,2.1,22.6,2024.0,15.9,0.568,2.2,0.068,0.2,0.8,Anfernee Simons,simonan01,Arrière,0.29
25.0,70.0,32.7,6.8,16.1,0.426,3.1,8.5,0.363,3.8,7.6,0.496,2.5,2.8,0.902,0.4,2.3,2.7,4.8,0.9,0.1,2.0,1.7,19.3,2025.0,14.9,0.557,4.2,0.087,-0.1,1.1,Anfernee Simons,simonan01,Arrière,0.32
20.0,69.0,16.9,1.7,3.6,0.466,0.5,1.4,0.394,1.1,2.2,0.51,0.7,1.2,0.613,0.5,1.5,2.0,1.3,0.5,0.3,0.8,1.6,4.6,2024.0,8.4,0.56,1.6,0.067,-3.0,-0.3,Anthony Black,blackan01,Meneur,-0.54
21.0,78.0,24.2,3.4,7.9,0.423,0.8,2.5,0.318,2.6,5.4,0.471,1.9,2.5,0.761,0.7,2.3,2.9,3.1,1.1,0.6,1.8,2.1,9.4,2025.0,11.6,0.521,2.4,0.061,-1.9,0.0,Anthony Black,blackan01,Meneur,-0.33
29.0,56.0,34.0,9.7,17.2,0.563,0.3,1.3,0.257,9.3,15.9,0.589,6.2,7.9,0.784,3.5,9.1,12.5,2.6,1.1,2.0,2.2,2.6,25.9,2023.0,27.8,0.627,9.0,0.226,6.3,4.0,Anthony Davis,davisan02,Pivot,2.5
30.0,76.0,35.5,9.4,16.9,0.556,0.4,1.4,0.271,9.0,15.5,0.582,5.5,6.8,0.816,3.1,9.5,12.6,3.5,1.2,2.3,2.1,2.3,24.7,2024.0,25.8,0.621,11.8,0.21,5.1,4.9,Anthony Davis,davisan02,Pivot,2.46
31.0,25.5,31.95,8.65,17.45,0.49450000000000005,0.75,2.75,0.2655,7.95,14.7,0.538,4.85,6.449999999999999,0.738,2.25,8.7,11.0,3.9000000000000004,0.95,2.1500000000000004,2.2,1.9,22.85,2025.0,24.4,0.5605,3.35,0.1475,4.25,1.5999999999999999,Anthony Davis,davisan02,Pivot,1.37
21.0,79.0,36.0,8.9,19.5,0.459,2.7,7.3,0.369,6.3,12.2,0.513,4.0,5.3,0.756,0.6,5.2,5.8,4.4,1.6,0.7,3.3,2.4,24.6,2023.0,17.4,0.564,3.8,0.064,1.0,2.1,Anthony Edwards,edwaran01,Arrière,0.71
22.0,79.0,35.1,9.1,19.7,0.461,2.4,6.7,0.357,6.7,13.0,0.515,5.4,6.4,0.836,0.7,4.8,5.4,5.1,1.3,0.5,3.1,1.8,25.9,2024.0,19.7,0.575,7.5,0.13,3.3,3.7,Anthony Edwards,edwaran01,Arrière,1.51
23.0,79.0,36.3,9.1,20.4,0.447,4.1,10.3,0.395,5.1,10.1,0.501,5.3,6.3,0.837,0.8,4.9,5.7,4.5,1.2,0.6,3.2,1.9,27.6,2025.0,20.1,0.595,8.4,0.14,4.3,4.6,Anthony Edwards,edwaran01,Arrière,1.92
30.0,59.0,10.6,1.2,2.2,0.538,0.1,0.5,0.138,1.1,1.7,0.65,0.8,1.1,0.731,0.6,1.1,1.7,0.6,0.1,0.2,0.3,1.2,3.3,2023.0,11.1,0.604,1.3,0.101,-3.3,-0.2,Anthony Gill,gillan01,Ailier fort,-0.32
31.0,50.0,9.3,1.5,3.2,0.469,0.2,0.8,0.244,1.3,2.4,0.546,0.6,0.7,0.806,0.7,1.1,1.9,0.7,0.3,0.2,0.5,1.0,3.8,2024.0,12.1,0.537,0.4,0.038,-4.1,-0.3,Anthony Gill,gillan01,Ailier fort,-0.35
32.0,51.0,7.8,0.8,1.7,0.489,0.2,0.6,0.323,0.6,1.1,0.579,0.6,1.0,0.66,0.4,0.9,1.3,0.3,0.2,0.0,0.2,0.6,2.5,2025.0,10.2,0.586,0.5,0.058,-4.5,-0.3,Anthony Gill,gillan01,Ailier fort,-0.54
25.0,62.0,19.3,2.4,5.1,0.471,1.2,3.2,0.367,1.2,1.9,0.652,0.7,1.0,0.767,0.9,2.6,3.5,1.5,0.5,0.3,0.9,2.2,6.7,2023.0,10.9,0.61,2.4,0.096,-1.1,0.3,Anthony Lamb,lamban01,Ailier,-0.2
