Player,Team,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30,Guaranteed,Player-additional,Team_code,experience_year
Caleb Houstan,ORL Magic,2019699,2187699,0,0,0,0,2019699,houstca01,ORL,2.0
Jaylin Williams,OKC Thunder,2019699,2187451,0,0,0,0,2019699,willija07,OKC,2.0
Josh Minott,MIN Timberwolves,2019699,2187451,0,0,0,0,2019699,minotjo01,MIN,2.0
Kennedy Chandler,MEM Grizzlies,2019699,0,0,0,0,0,2019699,chandke01,MEM,2.0
Jose Alvarado,NOP Pelicans,1988598,4500000,4500000,0,0,0,6488598,alvarjo01,NOP,3.0
Reggie Jackson,CHA Hornets,4033748,0,0,0,0,0,1946229,jacksre01,CHA,13.0
Ricky Council Iv,PHI 76ers,1891857,2221677,2406205,0,0,0,4113534,councri01,PHI,1.0
Gg Jackson,MEM Grizzlies,1891857,2221677,2406205,0,0,0,4113534,jacksgg01,MEM,1.0
Jalen Pickett,DEN Nuggets,1891857,2221677,2406205,0,0,0,4113534,pickeja02,DEN,1.0
Hunter Tyson,DEN Nuggets,1891857,2221677,2406205,0,0,0,4113534,tysonhu01,DEN,1.0
Julian Phillips,CHI Bulls,1891857,2221677,2406205,0,0,0,4113534,phillju01,CHI,1.0
Jordan Walsh,BOS Celtics,1891857,2221677,2406205,0,0,0,2091857,walshjo01,BOS,1.0
Sidy Cissoko,WAS Wizards,1891857,0,0,0,0,0,1891857,cissosi01,WAS,1.0
Toumani Camara,POR Trail Blazers,1891857,2221677,2406205,0,0,0,1891857,camarto01,POR,1.0
Rayan Rupert,POR Trail Blazers,1891857,2221677,0,0,0,0,1891857,ruperra01,POR,1.0
Leonard Miller,MIN Timberwolves,1891857,2221677,2406205,0,0,0,1891857,millele01,MIN,1.0
Chris Livingston,MIL Bucks,1891857,2221677,2406205,0,0,0,1891857,livinch01,MIL,1.0
Andre Jackson Jr,MIL Bucks,1891857,2221677,2406205,0,0,0,1891857,jacksan01,MIL,1.0
Trayce Jackson Davis,GSW Warriors,1891857,2221677,2406205,0,0,0,1891857,jackstr02,GSW,1.0
Gui Santos,GSW Warriors,1891857,2221677,0,0,0,0,1891857,santogu01,GSW,1.0
Craig Porter Jr,CLE Cavaliers,1891857,2221677,2406205,0,0,0,1891857,portecr01,CLE,1.0
Maxwell Lewis,BKN Nets,1891857,2221677,2406205,0,0,0,1891857,lewisma05,BKN,1.0
Jalen Wilson,BKN Nets,1891857,2221677,0,0,0,0,1891857,wilsoja03,BKN,1.0
Mouhamed Gueye,ATL Hawks,1891857,2221677,2406205,0,0,0,1891857,gueyemo02,ATL,1.0
Jonathan Mogbo,TOR Raptors,1862265,1955377,2296271,0,0,0,3817642,mogbojo01,TOR,0.0
Jamal Shead,TOR Raptors,1862265,1955377,2296271,0,0,0,3817642,sheadja01,TOR,0.0
Johnny Furphy,IND Pacers,1850842,1955377,2296271,2486995,0,0,6102490,furphjo01,IND,0.0
Pacome Dadiet,NYC Knicks,1808080,2847600,2983680,5373608,0,0,4655680,dadiepa01,NYC,0.0
Justin Champagnie,WAS Wizards,1800000,2349578,2667944,3005085,0,0,6817522,champju01,WAS,3.0
Javonte Green,NOP Pelicans,2328350,0,0,0,0,0,1728488,greenja02,NOP,5.0
Jae Crowder,SAC Kings,1655619,0,0,0,0,0,1655619,crowdja01,SAC,12.0
Karlo Matkovic,NOP Pelicans,1407153,1955377,2296271,0,0,0,3362530,matkoka01,NOP,0.0
Landry Shamet,NYC Knicks,1343690,0,0,0,0,0,1343690,shamela01,NYC,6.0
Eric Bledsoe,POR Trail Blazers,1300000,0,0,0,0,0,1300000,bledser01,POR,13.0
Bobi Klintman,DET Pistons,1257153,1955377,2296271,2486995,0,0,3212530,klintbo01,DET,0.0
Tyler Smith,MIL Bucks,1157153,1955377,2296271,2486995,0,0,5408801,smithty02,MIL,0.0
Oso Ighodaro,PHX Suns,1157153,1955377,2296271,2486995,0,0,3112530,ighodos01,PHX,0.0
Jaylen Wells,MEM Grizzlies,1157153,1955377,2296271,2486995,0,0,3112530,wellsja01,MEM,0.0
Bronny James,LAL Lakers,1157153,1955377,2296271,2486995,0,0,3112530,jamesbr02,LAL,0.0
Cam Christie,LAC Clippers,1157153,1955377,2296271,2486995,0,0,3112530,chrisca02,LAC,0.0
Adem Bona,PHI 76ers,1157153,1955377,2296271,2486995,0,0,1157153,bonaad01,PHI,0.0
Antonio Reeves,NOP Pelicans,1157153,1955377,2296271,0,0,0,1157153,reevean01,NOP,0.0
Pelle Larsson,MIA Heat,1157153,1955377,2296271,0,0,0,1157153,larsspe01,MIA,0.0
Bruno Fernando,TOR Raptors,1115128,0,0,0,0,0,1115128,fernabr01,TOR,5.0
Ariel Hukporti,NYC Knicks,1064049,1955377,0,0,0,0,1064049,hukpoar01,NYC,0.0
Pj Dozier,MIN Timberwolves,1051255,0,0,0,0,0,1051255,doziepj01,MIN,6.0
Jordan Miller,LAC Clippers,1050000,2191897,2378864,2573347,0,0,1050000,millejo02,LAC,1.0
Jamison Battle,TOR Raptors,1000000,1955377,2296271,0,0,0,1000000,battlja01,TOR,0.0
Kevin Porter Jr,OKC Thunder,3366937,2546675,0,0,0,0,1000000,porteke02,OKC,4.0
Joshua Primo,LAC Clippers,1000000,0,0,0,0,0,1000000,primojo01,LAC,4.0
Orlando Robinson,SAC Kings,1691610,0,0,0,0,0,959779,robinor01,SAC,2.0
Moussa Diabate,CHA Hornets,957763,2270735,2461462,0,0,0,957763,diabamo01,CHA,2.0
Lonnie Walker Iv,PHI 76ers,780932,2940876,0,0,0,0,780932,walkelo01,PHI,6.0
Torrey Craig,BOS Celtics,3625162,0,0,0,0,0,779820,craigto01,BOS,7.0
Ben Simmons,LAC Clippers,40011909,0,0,0,0,0,755826,simmobe01,LAC,6.0
Jared Butler,PHI 76ers,745726,2349578,0,0,0,0,745726,butleja02,PHI,3.0
Alex Len,LAL Lakers,2831348,0,0,0,0,0,743829,lenal01,LAL,11.0
Markelle Fultz,SAC Kings,731831,0,0,0,0,0,731831,fultzma01,SAC,7.0
Keshad Johnson,MIA Heat,724883,1955377,0,0,0,0,724883,johnske10,MIA,0.0
E J Liddell,PHX Suns,706898,706898,706898,0,0,0,2120694,liddeej01,PHX,1.0
Nik Stauskas,IND Pacers,702310,0,0,0,0,0,702310,stausni01,IND,7.0
Tyrese Martin,BKN Nets,635853,2191897,0,0,0,0,635853,martity01,BKN,1.0
