player_id,nom,équipe,position,taille,poids,expérience (années),âge
1626171,Bobby Portis,Bucks,Forward,6-10,250,9,30
204001,Kristaps Porziņģis,Celtics,Forward-Center,7-2,240,8,30
1642366,Quinten Post,Warriors,Center,7-0,238,0,25
1630695,Micah Potter,Jazz,Center,6-9,248,3,27
203939,Dwight Powell,Mavericks,Forward-Center,6-10,240,10,34
1626181,Norman Powell,Clippers,Guard,6-4,215,9,32
1627752,Taurean Prince,Bucks,Forward,6-6,218,8,31
1630202,Payton Pritchard,Celtics,Guard,6-1,195,4,27
1641765,Olivier-Maxence Prosper,Mavericks,Forward,6-7,230,1,23
1642389,Zyon Pullin,Grizzlies,Guard,6-4,206,0,24
1630243,Trevelin Queen,Magic,Guard,6-5,190,3,28
1629674,Neemias Queta,Celtics,Center,7-0,248,3,26
1630193,Immanuel Quickley,Raptors,Guard,6-2,190,4,26
1631311,Lester Quinones,Pelicans,Guard,6-4,208,2,25
203944,Julius Randle,Timberwolves,Forward-Center,6-9,250,10,31
1641871,Duop Reath,Trail Blazers,Center,6-9,245,1,29
1630559,Austin Reaves,Lakers,Guard,6-5,197,3,27
1630194,Paul Reed,Pistons,Forward,6-9,210,4,26
1642024,Alex Reese,76ers,Forward-Center,6-9,245,0,26
1641810,Antonio Reeves,Pelicans,Guard,6-5,205,0,23
1629675,Naz Reid,Timberwolves,Center-Forward,6-9,264,5,26
1631197,Jared Rhoden,Raptors,Guard,6-5,210,2,26
1630208,Nick Richards,Suns,Center,7-0,245,4,28
1642258,Zaccharie Risacher,Hawks,Forward,6-8,200,0,20
1629130,Duncan Robinson,Heat,Forward,6-7,215,6,31
1629011,Mitchell Robinson,Knicks,Center-Forward,7-0,240,6,27
1630526,Jeremiah Robinson-Earl,Pelicans,Forward,6-8,240,3,25
1631223,David Roddy,Rockets,Forward,6-4,255,2,24
1631157,Ryan Rollins,Bucks,Guard,6-3,180,2,23
1642050,Jackson Rowe,Warriors,Forward,6-7,210,0,28
1626179,Terry Rozier,Heat,Guard,6-1,190,9,31
1641712,Rayan Rupert,Trail Blazers,Guard-Forward,6-6,195,1,21
1626156,D'Angelo Russell,Nets,Guard,6-3,193,9,29
1627734,Domantas Sabonis,Kings,Forward-Center,6-10,240,8,29
1642275,Tidjane Salaün,Hornets,Forward,6-8,207,0,20
1630611,Gui Santos,Warriors,Forward,6-6,185,1,23
1642259,Alex Sarr,Wizards,Center,7-0,205,0,20
1631204,Marcus Sasser,Pistons,Guard,6-2,195,1,25
1631248,Baylor Scheierman,Celtics,Guard,6-6,205,0,25
203471,Dennis Schröder,Pistons,Guard,6-1,175,11,32
1630578,Alperen Sengun,Rockets,Center,6-11,243,3,23
1641729,Brice Sensabaugh,Jazz,Forward,6-5,235,1,22
1629012,Collin Sexton,Jazz,Guard,6-3,190,6,26
1629013,Landry Shamet,Knicks,Guard,6-4,190,6,28
1630545,Terrence Shannon Jr.,Timberwolves,Guard-Forward,6-6,215,0,25
1630549,Day'Ron Sharpe,Nets,Center,6-9,265,3,24
1631101,Shaedon Sharpe,Trail Blazers,Guard,6-5,208,2,22
1642347,Jamal Shead,Raptors,Guard,6-1,200,0,23
1641767,Ben Sheppard,Pacers,Guard,6-6,190,1,24
1642263,Reed Sheppard,Rockets,Guard,6-2,185,0,21
1627783,Pascal Siakam,Pacers,Forward,6-8,245,8,31
1627732,Ben Simmons,Clippers,Guard-Forward,6-10,240,6,29
1629014,Anfernee Simons,Trail Blazers,Guard,6-3,200,6,26
1642354,KJ Simpson,Hornets,Guard,6-0,189,0,23
1630579,Jericho Sims,Bucks,Center,6-10,250,3,27
203935,Marcus Smart,Wizards,Guard,6-3,220,10,31
1630696,Dru Smith,Heat,Guard,6-2,203,2,28
1630188,Jalen Smith,Bulls,Forward-Center,6-9,215,4,25
1642449,Tolu Smith,Pistons,Forward,6-11,,0,25
1641890,Tyler Smith,Bucks,Forward,6-9,224,0,21
1631095,Jabari Smith Jr.,Rockets,Forward,6-10,220,2,22
1641733,Nick Smith Jr.,Hornets,Guard,6-2,185,1,21
1631110,Jeremy Sochan,Spurs,Forward,6-8,230,2,22
1642285,Cam Spencer,Grizzlies,Guard,6-4,205,0,25
1630311,Pat Spencer,Warriors,Guard,6-3,205,1,29
1630531,Jaden Springer,Jazz,Guard,6-4,202,3,23
1641815,Isaiah Stevens,Heat,Guard,6-0,185,0,25
1630205,Lamar Stevens,Grizzlies,Forward,6-7,230,4,28
1630191,Isaiah Stewart,Pistons,Forward-Center,6-8,250,4,24
1631124,Julian Strawther,Nuggets,Guard,6-6,205,1,23
1629622,Max Strus,Cavaliers,Guard-Forward,6-5,215,5,29
1630591,Jalen Suggs,Magic,Guard,6-5,205,3,24
1630256,Jae'Sean Tate,Rockets,Forward,6-4,230,4,30
1628369,Jayson Tatum,Celtics,Forward-Guard,6-8,210,7,27
